國文,英文,數學,社會,自然
7,12,14,10,6
13,10,13,12,8
8,9,8,12,13
7,9,6,8,6
10,15,7,13,8
8,8,10,9,12
13,10,13,6,11
8,15,8,15,11
10,13,6,13,6
15,13,14,8,14
8,6,10,11,7
14,13,6,7,10
13,15,12,7,6
14,6,15,8,9
10,12,10,11,7
14,9,15,6,12
7,9,7,9,6
11,14,13,8,7
10,14,11,15,12
8,12,13,11,11
10,13,11,6,12
11,13,14,7,6
15,6,9,7,12
10,13,9,11,7
9,13,6,10,10
12,11,7,6,11
9,12,15,12,10
7,10,15,7,11
6,8,12,6,8
13,9,13,12,6
8,8,10,12,6
14,12,12,12,13
11,14,11,15,6
12,9,6,10,15
15,8,14,9,7
12,10,6,7,10
9,15,14,13,9
7,14,8,6,10
11,9,14,8,9
14,9,6,12,8
15,11,14,12,9
12,7,13,12,10
6,10,6,14,15
8,12,13,12,10
8,13,12,13,7
10,6,15,8,11
10,7,13,7,13
8,6,10,15,8
9,7,10,12,11
12,8,11,7,10
14,15,13,12,12
15,12,10,15,12
12,12,15,11,10
14,15,13,9,9
10,9,12,6,7
13,9,15,14,15
10,10,10,6,15
11,15,12,9,6
8,15,12,11,12
11,14,15,6,10
14,14,13,11,8
13,15,6,13,7
8,10,7,15,9
10,7,6,12,13
6,11,8,15,6
10,9,10,9,10
15,15,11,15,14
12,12,9,10,15
9,11,13,15,9
9,8,14,9,7
9,12,12,15,11
10,10,12,14,15
7,11,12,9,7
11,12,10,14,14
14,8,14,9,10
6,14,13,13,10
12,12,6,10,9
6,10,6,7,13
9,11,12,8,12
13,7,13,6,6
11,13,9,14,9
15,8,8,8,13
13,13,9,6,9
7,6,11,10,7
7,9,12,15,15
12,10,14,11,8
6,12,6,12,6
12,6,12,8,10
10,15,9,15,6
6,14,14,10,14
11,11,11,14,12
14,14,15,10,10
11,13,9,15,11
12,9,13,9,8
8,15,6,12,12
15,14,9,8,8
14,15,12,13,9
15,11,6,8,14
11,10,11,8,15
14,15,9,9,7
